Scenario;Region;Sector;Set;Name;Description;Activity unit;Capacity unit;Type;Sub type;Primary commodity group;Time slice level;Vintage
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;CO2DAC-01;General - DAC Solid Adsorbents(Amine-based);KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;STORAGEMINELC;STORAGEMINELC;KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.CCSSTG.;STORAGEMININD;STORAGEMININD;KT;MTA;PRE;-;CO2STOCK;ANNUAL;1,00
SUP-CarbonStorage;RW;SUP;.PRE.;CO2CTOMETHELC;CO2CTOMETHELC;PJ;PJA;PRE;-;CO2CTOMETHELC_NRGO;DAYNITE;1,00
SUP-CarbonStorage;RW;SUP;.PRE.;CO2CTOMETHIND;CO2CTOMETHIND;PJ;PJA;PRE;-;CO2CTOMETHIND_NRGO;DAYNITE;1,00
BASE;RW;RSD;.PRE.;RW2FOIL100;Rsd.Water Heat.Dwelling.2F.OIL.00.Furnace.;PJ;GW;PRE;-;RW2F;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CWBANGMX101;Com Water Heat New Boiler - BAN - GMX101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CCCSNELC101;Com Space Cool New - CSN - ELC101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.DMD.;CCCSNELCHP101;Com Space Cool New - CSN - ELC101;PJ;GW;DMD;-;;ANNUAL;0,00
COM-NewTechs_V02;RW;COM;.PRE.;CWDATASOLD101;Com Water Heat New Boiler with back up - DATA - OIL101;PJ;GW;PRE;-;;ANNUAL;0,00
IND-NewTechs_TEST;RW;IND;.DMD.;ICMFINPRO01;ICM.Finishing Processes.01;MT;MT;DMD;-;ICM;ANNUAL;1,00
COM-NewTechs_V02;RW;COM;.PRE.;CLIGNENELC501;CLIGNENELC501;PJ;GW;PRE;-;CLIGNEN;ANNUAL;
BASE;RW;AGR;.IMP.;IMPNRGZ;Dummy Import of NRG;PJ;-;IRE;-;NRG;ANNUAL;
BASE;RW;AGR;.IMP.;IMPMATZ;Dummy Import of MAT;MT;-;IRE;-;MAT;ANNUAL;
BASE;RW;AGR;.IMP.;IMPDEMZ;Dummy Import of DEM;PJ;-;IRE;-;DEM;ANNUAL;
BASE;RW;TRA;.DMD.;TBUSDSTC00;Buses Diesel Coaches Existing;BVKM;000VEH;DMD;-;TBC;ANNUAL;0,00
BASE;RW;TRA;.DMD.;TTFELCDST00;Train Freigh Tech Existing;BTKM;BTKMA;DMD;-;TTF;ANNUAL;0,00
BASE;RW;IND;.PRE.;IPPPUPCHE00;IPP.Chemical Pulp Production.00.;MT;MTA;PRE;-;MPPPUP;ANNUAL;0,00
BASE;RW;IND;.CHP.;CHPINDIBP00;CHP.Autoproducer.Industry.wood.00;PJ;GW;CHP;-;CHPINDIBP00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDICH00;CHP.Autoproducer.industrie.chimie.00;PJ;GW;CHP;-;CHPINDICH00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIML00;CHP.Autoproducer.Industry.FOOD.Milk.00;PJ;GW;CHP;-;CHPINDIML00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDINM00;CHP.Autoproducer.Industry.others.non.metal.00;PJ;GW;CHP;-;CHPINDINM00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIOF00;CHP.Autoproducer.Industry.FOOD.others.00;PJ;GW;CHP;-;CHPINDIOF00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIOI00;CHP.Autoproducer.Industry.others.non.metal.00;PJ;GW;CHP;-;CHPINDIOI00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIPO00;CHP.Autoproducer.Industry.FOODIPO.00;PJ;GW;CHP;-;CHPINDIPO00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDIPP00;CHP.Autoproducer.Industry.Pulp&Paper.00;PJ;GW;CHP;-;CHPINDIPP00_NRGO;DAYNITE;0,00
BASE;RW;IND;.CHP.;CHPINDISG00;CHP.Autoproducer.Industry.FOOD.ISGar.00;PJ;GW;CHP;-;CHPINDISG00_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_BGS_E05;Existing thermal - CHP - Commercial - E05;PJ;GW;CHP;-;ECHPP_COM_BGS_E05_NRGO;DAYNITE;0,00
BASE;RW;ELC;.CHP.;ECHPP_COM_CPS_E01;Existing thermal - CHP - Commercial - E01;PJ;GW;CHP;-;ECHPP_COM_CPS_E01_NRGO;DAYNITE;0,00
