Scenario;Region;Sector;Set;Name;Description;Unit;Type;Sub type;Lim type;Time slice level;Peak time slice
BASE;RW;AGR;.DEM.;AGRAP;AGR - Electric appliances;PJ;DEM;;;;
BASE;RW;AGR;.NRG.;AGRBDL;Biodiesel (AGR);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRBGS;Biogas (AGR);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRBGS;Biogas (AGR);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRBIO;Biomass (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRCH4;CH4 (AGR);kt;ENV;;;;
BASE;RW;AGR;.ENV.;AGRCO2b;CO2 biomasse (AGR);kt;ENV;;;;
BASE;RW;AGR;.ENV.;AGRCO2N;Carbon Dioxide - Combustion (AGR);kt;ENV;;;;
BASE;RW;AGR;.ENV.;AGRCO2P;Carbon Dioxide - Process (AGR);kt;ENV;;;;
BASE;RW;AGR;.NRG.;AGRCOA;Coal (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRCOV;COV polluant (AGR);kt;ENV;;;;
BASE;RW;AGR;.NRG.;AGRCPS;Wood CPS (ARG);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRELC;Electricity (AGR);PJ;NRG;ELC;;DAYNITE;
BASE;RW;AGR;.NRG.;AGRGAS;Natural Gas (AGR);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRGEO;Geothermal (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRGHG;GES total (AGR);kt;ENV;;;;
BASE;RW;AGR;.ENV.;AGRGHGb;GES biomasse total (AGR);kt;ENV;;;;
BASE;RW;AGR;.NRG.;AGRGMX;gas mixed reseau (AGR);PJ;NRG;;;;
BASE;RW;AGR;.NRG.;AGRHET;Low Temperature Heat (network) (AGR);PJ;NRG;LTHEAT;;SEASON;
BASE;RW;AGR;.DEM.;AGRHH;AGR - House heating;PJ;DEM;;;;
BASE;RW;AGR;.NRG.;AGRLPG;Liquified Petroleum Gas (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRNH3;NH3 polluant (AGR);kt;ENV;;;;
BASE;RW;AGR;.ENV.;AGRNOX;NOX polluant (AGR);kt;ENV;;;;
BASE;RW;AGR;.DEM.;AGROF;AGR - Offroad;PJ;DEM;;;;
BASE;RW;AGR;.NRG.;AGROIL;Oil (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRPM2;PM2 polluant (AGR);kt;ENV;;;;
BASE;RW;AGR;.NRG.;AGRSOL;Solar (AGR);PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRSOX;SOX polluant (AGR);kt;ENV;;;;
BASE;RW;COM;.DEM.;CBATBA;Commercial Building existing Admnistration;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATBP;Commercial Building existing Bureaux prives;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATCO;Commercial Building existing Commerce;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATCS;Commercial Building existing Culture sprort et divers;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATDATA;Commercial Building existing Data center;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATEN;Commercial Building existing Enseignement;Mm2;DEM;;;;
BASE;RW;COM;.DEM.;CBATSA;Commercial Building existing Santé;Mm2;DEM;;;;
BASE;RW;COM;.NRG.;CCBA;Commercial space cooling Bureaux: Administration Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCBP;Commercial space cooling Bureaux: transport et communication, banques etc Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCCO;Commercial space cooling Commerce Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCCS;Commercial space cooling Culture sports et divers Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCDATA;Commercial space cooling Data Center Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCEN;Commercial space cooling Enseignment Existing;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNBA;Commercial space cooling Bureaux: Administration new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNBP;Commercial space cooling Bureaux: transport et communication, banques etc new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNCO;Commercial space cooling Commerce new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNCS;Commercial space cooling Culture sports et divers new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNDATA;Commercial space cooling Data Center new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNEN;Commercial space cooling Enseignment new;PJ;NRG;;;;
BASE;RW;COM;.NRG.;CCNSA;Commercial space cooling Santé new;PJ;NRG;;;;
BASE;RW;AGR;.ENV.;AGRN2O;N2O (AGR);kt;ENV;;;;
BASE;RW;COM;.DEM.;CCOK;Commercial Cooking Existing;PJ;DEM;;;;
