Commodity,Description
AGRAP,Commodity for Agriculture sector (AP)
AGRBDL,Biodiesel for Agriculture sector
AGRBGS,Commodity for Agriculture sector (BGS)
AGRCH4,Methane for Agriculture sector
AGRCO2N,CO2 from combustion for Agriculture sector
AGRCO2b,CO2 for Agriculture sector
AGRCOV,Volatile Organic Compounds for Agriculture sector
AGRCPS,Wood Chips for Agriculture sector
AGRELC,Electricity for Agriculture sector
AGRGHG,Greenhouse Gas for Agriculture sector
AGRGHGb,Greenhouse Gas for Agriculture sector
AGRGMX,Commodity for Agriculture sector (GMX)
AGRHET,Heat for Agriculture sector
AGRHH,Commodity for Agriculture sector (HH)
AGRN2O,Nitrous Oxide for Agriculture sector
AGRNH3,Ammonia for Agriculture sector
AGRNOX,Nitrogen Oxides for Agriculture sector
AGROF,Commodity for Agriculture sector (OF)
AGROIL,Oil for Agriculture sector
AGRPM2,Particulate matter 2.5 for Agriculture sector
AGRSOX,Sulphur oxides for Agriculture sector
BATELCIN,Electricity
BATELCOUT,Electricity
BIOBOU,Biomass
BIOCPS,Biomass
BIOCRP1,Biomass
BIOCUL,Biomass
BIODST,Biomass
BIOEFF,Biomass
BIOETH,Biomass
BIOGAS,Gas
BIOGLY,Biomass
BIOGZH,Biomass
BIOLOG,Biomass
BIOPEL,Biomass
BIOPLPOIL,Oil
BIORME,Biomass
BIORPOIL,Oil
BIORPS,Biomass
BIOSLU,Biomass
BIOSLUH,Biomass
BIOSTIL,Biomass
CBATBA,Commodity: CBATBA
CBATBP,Commodity: CBATBP
CBATCO,Commodity: CBATCO
CBATCS,Commodity: CBATCS
CBATDATA,Commodity: CBATDATA
CBATEN,Commodity: CBATEN
CBATSA,Commodity: CBATSA
CCBA,Commodity: CCBA
CCBP,Commodity: CCBP
CCCO,Commodity: CCCO
CCCS,Commodity: CCCS
CCDATA,Commodity: CCDATA
CCEN,Commodity: CCEN
CCNBA,Commodity: CCNBA
CCNBP,Commodity: CCNBP
CCNCO,Commodity: CCNCO
CCNCS,Commodity: CCNCS
CCNDATA,Commodity: CCNDATA
CCNEN,Commodity: CCNEN
CCNSA,Commodity: CCNSA
CCOK,Coke
CCSA,Commodity: CCSA
CHBA,Commodity: CHBA
CHBP,Commodity: CHBP
CHCO,Commodity: CHCO
CHCS,Commodity: CHCS
CHEN,Commodity: CHEN
CHNBA,Commodity: CHNBA
CHNBP,Commodity: CHNBP
CHNCO,Commodity: CHNCO
CHNCS,Commodity: CHNCS
CHNEN,Commodity: CHNEN
CHNSA,Commodity: CHNSA
CHSA,Commodity: CHSA
CHSADUM,Commodity: CHSADUM
CLIGBA,Lignite
CLIGBP,Lignite
CLIGCO,Lignite
CLIGCS,Lignite
CLIGDATA,Lignite
CLIGEN,Lignite
CLIGNBA,Lignite
CLIGNBP,Lignite
CLIGNCO,Lignite
CLIGNCS,Lignite
CLIGNDATA,Lignite
CLIGNEN,Lignite
CLIGNSA,Lignite
CLIGSA,Lignite
CNBATBA,Commodity: CNBATBA
CNBATBP,Commodity: CNBATBP
CNBATCO,Commodity: CNBATCO
CNBATCS,Commodity: CNBATCS
CNBATDATA,Commodity: CNBATDATA
CNBATEN,Commodity: CNBATEN
CNBATSA,Commodity: CNBATSA
CO2STOCK,CO2
COACOK,Coal
COAHAR,Coal
COALIG,Coal
COEL,Commodity: COEL
