commodity,sector,fuel,measure,chp,note
# Final-energy carriers per demand sector, for times_pypsa.indicators.energy_demand.
#
# One row per TIMES commodity that counts as *final energy delivered to a demand
# sector*. `sector` is the sector that owns the carrier; the row is attributed to
# the sector of the process that consumes it, so transport charging on RSDELC /
# COMELC lands in Transport (see INDICATORS.md).
#
# measure:
#   input       (default) sum VAR_FIn on the commodity
#   output      sum VAR_FOut on the commodity, attributed to `sector` directly.
#               For carriers that are produced but never consumed in the .vd
#               (TRAGAS), VAR_FIn is zero and the fuel would vanish.
#   passthrough resolve the commodity into its producing process's input mix and
#               map those inputs to fuels. Used for the transport road fuels,
#               where the fossil / biofuel split only exists upstream of the
#               blended carrier.
#   upstream    a carrier that is only ever a passthrough target; never counted
#               on its own.
#   exclude     present in the .vd, deliberately not final energy.
#
# chp: how a cogeneration unit consuming this carrier is weighted.
#   (blank)     default - the fuel is split by the CHP heat share
#   zero        not counted at all. Heat fed back into a CHP is the unit's own
#               product recycled; charging it to the sector double-counts the
#               heat the same unit delivers.
#
# Commodity codes are <SECTOR><FUEL>; see data/AllCommodities.csv for descriptions.

# --- Agriculture -------------------------------------------------------------
AGRBDL,AGR,Biofuel,input,,
AGRBGS,AGR,Biogas,input,,
AGRBIO,AGR,Biofuel,input,,
AGRCOA,AGR,Solid fuels,input,,
AGRCPS,AGR,Wood,input,,ICEDD's demande_agriculture.csv omits this row (0.02 PJ); see INDICATORS.md
AGRELC,AGR,Electricity,input,,
AGRGAS,AGR,Natural Gas,input,,
AGRGEO,AGR,Geothermal,input,,
AGRGMX,AGR,Gas mix,input,,
AGRHET,AGR,Heat,input,zero,
AGRLPG,AGR,LPG,input,,
AGROIL,AGR,Oil products,input,,
AGRSOL,AGR,Solar,input,,

# --- Tertiary / commercial ---------------------------------------------------
COMAHT,COM,,exclude,,Ambient heat harvested by heat pumps is not final energy
COMGHT,COM,,exclude,,Ground heat harvested by heat pumps is not final energy
COMCOO,COM,,exclude,,Cooling agent is a service carrier rather than a fuel
COMBDL,COM,Biofuel,input,,
COMBGS,COM,Biogas,input,,
COMGZH,COM,Biogas,input,,
COMCOA,COM,Solid fuels,input,,
COMCPS,COM,Wood,input,,
COMPEL,COM,Wood,input,,
COMELC,COM,Electricity,input,,
COMGAS,COM,Natural Gas,input,,
COMGEO,COM,Geothermal,input,,
COMGMX,COM,Gas mix,input,,
COMGSL,COM,Oil products,input,,
COMOIL,COM,Oil products,input,,
COMHET,COM,Heat,input,zero,
COMHH2,COM,Hydrogen,input,,
COMLPG,COM,LPG,input,,
COMSLU,COM,Waste Renewable,input,,
COMSOL,COM,Solar,input,,

# --- Industry ----------------------------------------------------------------
INDHTH,IND,,exclude,,Intra-industry high-temperature heat (double counts the boiler fuel)
INDHWT,IND,,exclude,,Recovered industrial waste heat (chaleur fatale) is not purchased energy
INDHYD,IND,,exclude,,On-site hydro resource
INDWIN,IND,,exclude,,On-site wind resource
INDBDL,IND,Biofuel,input,,
INDBIO,IND,Biofuel,input,,
INDBGS,IND,Biogas,input,,
INDGZH,IND,Biogas,input,,
INDBLQ,IND,Black liquor,input,,
