TIMES commodity,Description,Unit,Sector,Type,Cluster,PyPSA Energy Carrier,Upstream commodity,Upstream process,Comment,Aggregation Level 1,Aggregation Level 2,sankey_overview,custom,Notes
ELCHIG,Electricity - High Voltage WITHOUT grid costs,PJ,ELC,,Electricity - High Voltage WITHOUT grid costs,Electricity ,,,Produced by the public power station or imports,Electricity - High Voltage WITHOUT grid costs,Electricity,Electricity,Grid electricity (HV),
ELCHIGG,High Voltage Electricity,PJ,ELC,,High Voltage Electricity,Electricity ,,,High voltage electricity,High Voltage Electricity,Electricity,Electricity,Grid electricity (HV metered),
ELCMED,Medium Voltage Electricity,PJ,ELC,,Medium Voltage Electricity,Medium Voltage Electricity,,,Medium voltage electricity,Medium Voltage Electricity,Medium Voltage Electricity,Electricity,Medium Voltage Electricity,
ELCLOW,Low Voltage Electricity,PJ,ELC,,Low Voltage Electricity,Low Voltage Electricity,,,low voltage electricity,Low Voltage Electricity,Low Voltage Electricity,Electricity,Grid electricity (LV),
RSDELC,Electricity for Residential sector,PJ,RSD,,Electricity for Residential sector,Electricity ,ELCLOW,RSDELC00,,Electricity for Residential sector,Electricity,Electricity,Residential electricity,
INDELC,Electricity for industry,PJ,IND,,Electricity for industry,Electricity ,ELCHIGG,INDELC00,Keep distinct from BATELCOUT/grid in custom Sankey (was bare Electricity → Electricity (context)),Electricity for industry,Electricity,Electricity,Electricity for industry,
COMELC,Electricity for Commercial sector,PJ,COM,,Electricity for Commercial sector,Electricity ,ELCMED,COMELC00,,Electricity for Commercial sector,Electricity,Electricity,Electricity,
TRAELC,Electricity for transport,PJ,TRA,,total energy for transport,Electricity,ELCLOW,TRAELC00,,total energy for transport,Electricity,Electricity,Electricity,
ELCNUC,Nuclear for Electricity sector,PJ,ELC,,Nuclear for Electricity sector,Nuclear for Electricity sector,,,,Nuclear for Electricity sector,Nuclear for Electricity sector,Electricity,Nuclear for Electricity sector,
RSDOIL,Diesel Oil for the residential sector,PJ,RSD,,Diesel Oil for the residential sector,Diesel Oil for the residential sector,,,,Diesel Oil for the residential sector,Diesel Oil for the residential sector,Oil products,Oil products (context),
INDLFO,Fuel Tech - Light Fuel Oil,PJ,IND,,oil for industry,oil for industry,,,light fuel oil,oil for industry,oil for industry,Oil products,oil for industry,
INDHFO,Fuel Tech - Heavy Fuel Oil,PJ,IND,,oil for industry,oil for industry,,,heavy fuel oil,oil for industry,oil for industry,Oil products,oil for industry,
AGROIL,Fuel Tech - Oil,PJ,AGR,,Oil for agriculture,Oil for agriculture,,,,Oil for agriculture,Oil for agriculture,Oil products,Oil for agriculture,
COMOIL,Oil for commercial sector,PJ,COM,,Oil for commercial sector,Oil for commercial sector,,,,Oil for commercial sector,Oil for commercial sector,Oil products,Oil products (context),
TRADST,Diesel for transport,PJ,TRA,,total energy for transport,total energy for transport,OILDST,TRADST00,diesel,total energy for transport,total energy for transport,Oil products,Diesel for transport,
TRAGSL,Gasoline for transport,PJ,TRA,,total energy for transport,total energy for transport,OILGSL,TRAGSL00,gasoline,total energy for transport,total energy for transport,Oil products,Oil products (context),
TRAKER,Kerosene - Jet Fuels for transport,PJ,TRA,,Kerosene - Jet Fuels for transport,Kerosene - Jet Fuels for transport,,,kerozene,Kerosene - Jet Fuels for transport,Kerosene - Jet Fuels for transport,Oil products,Kerosene - Jet Fuels for transport,
RSDLPG,Liquified Petroleum Gas (RSD),PJ,RSD,,Liquified Petroleum Gas (RSD),Liquified Petroleum Gas (RSD),,,Propane butane,Liquified Petroleum Gas (RSD),Liquified Petroleum Gas (RSD),Oil products,Oil products (context),
COMLPG,Liquified Petroleum Gas (COM),PJ,COM,,Liquified Petroleum Gas (COM),Liquified Petroleum Gas (COM),,,Propane butane,Liquified Petroleum Gas (COM),Liquified Petroleum Gas (COM),Oil products,Oil products (context),
INDLPG,Liquified Petroleum Gas for industry,PJ,IND,,gas for industry,gas for industry,,,Propane butane,gas for industry,gas for industry,Gas,gas for industry,
INDCOA,Hard Coal for industry,PJ,IND,,coal for industry,coal for industry,,,,coal for industry,coal for industry,Coal & solids,coal for industry,
RSDCOA,Coal for residential sector,PJ,RSD,,Coal for residential sector,Coal for residential sector,,,,Coal for residential sector,Coal for residential sector,Coal & solids,Coal & solids (context),
COMCOA,Coal for commertial sector,PJ,COM,,Coal for commertial sector,Coal for commertial sector,,,,Coal for commertial sector,Coal for commertial sector,Coal & solids,Coal & solids (context),
INDCOL,Lignite for industry,PJ,IND,,coal for industry,coal for industry,,,,coal for industry,coal for industry,Coal & solids,coal for industry,
ELCCOL,Lignite for electricity sector,PJ,ELC,,Lignite for electricity sector,Lignite for electricity sector,,,,Lignite for electricity sector,Lignite for electricity sector,Electricity,Lignite for electricity sector,
INDCOK,Coke for industry,PJ,IND,,Coke for industry,Coke for industry,,,Coke  in cement and lime industry,Coke for industry,Coke for industry,Coal & solids,Coke for industry,
ELCGAS,Natural Gas for Electricity,PJ,ELC,,Natural Gas for Electricity,Natural Gas for Electricity,GASNAT,,,Natural Gas for Electricity,Natural Gas for Electricity,Gas,Natural Gas for Electricity,
INDGAS,Natural Gas for Industry,PJ,IND,,gas for industry,gas for industry,GASNAT,,,gas for industry,gas for industry,Gas,gas for industry,
INDGMX,Network gas for industry,PJ,IND,,gas for industry,gas for industry,BIOGZH,SUPGMX00,Injected biomethane (after upgrading/concentration) + imported biomethane,gas for industry,gas for industry,Gas,gas for industry,
RSDGMX,Network gas for Residential sector,PJ,RSD,,Network gas for Residential sector,Network gas for Residential sector,BIOGZH,SUPGMX00,Injected biomethane (after upgrading/concentration) + imported biomethane,Network gas for Residential sector,Network gas for Residential sector,Gas,Network gas for Residential sector,
COMGMX,Network gas for Commercial sector,PJ,COM,,Network gas for Commercial sector,Network gas for Commercial sector,BIOGZH,SUPGMX00,Injected biomethane (after upgrading/concentration) + imported biomethane,Network gas for Commercial sector,Network gas for Commercial sector,Gas,Network gas for Commercial sector,
TRAGMX,Network gas for Transport sector,PJ,TRA,,total energy for transport,total energy for transport,BIOGZH,SUPGMX00,Injected biomethane (after upgrading/concentration),total energy for transport,total energy for transport,Gas,Gas (context),
AGRGMX,Network gas for agriculture,PJ,AGR,,Network gas for agriculture,Network gas for agriculture,BIOGZH,SUPGMX00,Injected biomethane (after upgrading/concentration),Network gas for agriculture,Network gas for agriculture,Gas,Network gas for agriculture,
ELCCPS,Wood Chips for Electricity sector,PJ,ELC,,Wood Chips for Electricity sector,Wood Chips for Electricity sector,,,,Wood Chips for Electricity sector,Wood Chips for Electricity sector,Electricity,Wood Chips for Electricity sector,
INDCPS,solid biomass for industry,PJ,IND,,solid biomass for industry,solid biomass for industry,,,,solid biomass for industry,solid biomass for industry,Biomass & biofuels,solid biomass for industry,
RSDLOG,Wood Logs for Residential sector,PJ,RSD,,Wood Logs for Residential sector,Wood Logs for Residential sector,,,logs,Wood Logs for Residential sector,Wood Logs for Residential sector,Biomass & biofuels,Biomass & biofuels (context),
INDBLQ,Black Liquor for Industry sector,PJ,IND,,Black Liquor for Industry sector,Black Liquor for Industry sector,,,black liquor (biomass),Black Liquor for Industry sector,Black Liquor for Industry sector,Biomass & biofuels,Biomass & biofuels (context),
INDBGS,Biogas for industry,PJ,IND,,gas for industry,gas for industry,,,,gas for industry,gas for industry,Gas,gas for industry,
COMBGS,Biogas for Commercial sector,PJ,COM,,Biogas for Commercial sector,Biogas for Commercial sector,,,,Biogas for Commercial sector,Biogas for Commercial sector,Gas,Gas (context),
TRABGS,Biogas for Transport sector,PJ,TRA,,total energy for transport,total energy for transport,,,,total energy for transport,total energy for transport,Gas,Gas (context),
AGRBGS,Biogas for agriculture,PJ,AGR,,Biogas,Fuel Tech – Biogas,,,,Biogas,Fuel Tech – Biogas,Gas,Gas (context),
ELCBGS,Biogas for Electricity sector,PJ,ELC,,Biogas,Biogas for Electricity sector,,,,Biogas,Biogas for Electricity sector,Gas,Biogas for Electricity sector,
