Technology (Process),Explanation
AGRAPP00,TIMES process: AGRAPP00
AGRBDL00,Agriculture process using -
AGRBGS00,Agriculture process using Biogas
AGRCPS00,Agriculture process using Solid biomass
AGRELC00,Agriculture process using Electricity
AGRGMX00,Agriculture process using Biogas
AGRHET00,Agriculture process using Central heat
AGRHH00,Agriculture process using Hydrogen
AGROFR00,TIMES process: AGROFR00
AGROIL00,Agriculture process using Oil
AGRPVELC,Agriculture process using Electricity
BBIORPS101,TIMES process: BBIORPS101
BBLQDME110,TIMES process: BBLQDME110
BBLQFTST110,TIMES process: BBLQFTST110
BBLQGAS110,TIMES process: BBLQGAS110
BBLQH2G110,TIMES process: BBLQH2G110
BCRPETH101,TIMES process: BCRPETH101
BCRPETH201,TIMES process: BCRPETH201
BRPSME101,TIMES process: BRPSME101
BWBIOGAZ100,TIMES process: BWBIOGAZ100
BWOODME110,TIMES process: BWOODME110
BWOOETH110,TIMES process: BWOOETH110
BWOOFTDST110,TIMES process: BWOOFTDST110
BWOOGAS110,TIMES process: BWOOGAS110
BWSUPGZH100,TIMES process: BWSUPGZH100
CCBAELC100,TIMES process: CCBAELC100
CCBAELC200,TIMES process: CCBAELC200
CCBAELC300,TIMES process: CCBAELC300
CCBAGMXHP101,TIMES process: CCBAGMXHP101
CCBANELC101,TIMES process: CCBANELC101
CCBANELC201,TIMES process: CCBANELC201
CCBANELC301,TIMES process: CCBANELC301
CCBANELC401,TIMES process: CCBANELC401
CCBANELCHP101,TIMES process: CCBANELCHP101
CCBANGMXHP101,TIMES process: CCBANGMXHP101
CCBPELC100,TIMES process: CCBPELC100
CCBPELC101,TIMES process: CCBPELC101
CCBPELC200,TIMES process: CCBPELC200
CCBPELC201,TIMES process: CCBPELC201
CCBPELC300,TIMES process: CCBPELC300
CCBPELC301,TIMES process: CCBPELC301
CCBPELC401,TIMES process: CCBPELC401
CCBPELCHP101,TIMES process: CCBPELCHP101
CCBPGMXHP101,TIMES process: CCBPGMXHP101
CCBPNELC101,TIMES process: CCBPNELC101
CCBPNELC201,TIMES process: CCBPNELC201
CCBPNELC301,TIMES process: CCBPNELC301
CCBPNELC401,TIMES process: CCBPNELC401
CCBPNELCHP101,TIMES process: CCBPNELCHP101
CCBPNGMXHP101,TIMES process: CCBPNGMXHP101
CCCOELC100,TIMES process: CCCOELC100
CCCOELC101,TIMES process: CCCOELC101
CCCOELC200,TIMES process: CCCOELC200
CCCOELC201,TIMES process: CCCOELC201
CCCOELC300,TIMES process: CCCOELC300
CCCOELC301,TIMES process: CCCOELC301
CCCOELC401,TIMES process: CCCOELC401
CCCOELCHP101,TIMES process: CCCOELCHP101
CCCOGMXHP101,TIMES process: CCCOGMXHP101
CCCSELC100,TIMES process: CCCSELC100
CCCSELC101,TIMES process: CCCSELC101
CCCSELC200,TIMES process: CCCSELC200
CCCSELC201,TIMES process: CCCSELC201
CCCSELC300,TIMES process: CCCSELC300
CCCSELC301,TIMES process: CCCSELC301
CCCSELC401,TIMES process: CCCSELC401
CCCSELCHP101,TIMES process: CCCSELCHP101
CCCSGMXHP101,TIMES process: CCCSGMXHP101
CCDATAELC101,TIMES process: CCDATAELC101
CCDATAELC201,TIMES process: CCDATAELC201
CCDATAELC301,TIMES process: CCDATAELC301
CCDATAELC401,TIMES process: CCDATAELC401
CCDATAELCHP101,TIMES process: CCDATAELCHP101
CCDATAGMXHP101,TIMES process: CCDATAGMXHP101
CCDATELC100,TIMES process: CCDATELC100
CCDATELC200,TIMES process: CCDATELC200
CCDATELC300,TIMES process: CCDATELC300
CCENELC100,TIMES process: CCENELC100
CCENELC200,TIMES process: CCENELC200
CCENELC300,TIMES process: CCENELC300
CCENGMXHP101,TIMES process: CCENGMXHP101
CCENNELC101,TIMES process: CCENNELC101
CCENNELC201,TIMES process: CCENNELC201
CCENNELC301,TIMES process: CCENNELC301
CCENNELC401,TIMES process: CCENNELC401
CCENNELCHP101,TIMES process: CCENNELCHP101
CCENNGMXHP101,TIMES process: CCENNGMXHP101
CCNBAELC101,TIMES process: CCNBAELC101
CCNBAELC201,TIMES process: CCNBAELC201
CCNBAELC301,TIMES process: CCNBAELC301
CCNBAELC401,TIMES process: CCNBAELC401
CCNBAELCHP101,TIMES process: CCNBAELCHP101
CCNBAGMXHP101,TIMES process: CCNBAGMXHP101
CCNBPELC101,TIMES process: CCNBPELC101
CCNBPELC201,TIMES process: CCNBPELC201
CCNBPELC301,TIMES process: CCNBPELC301
CCNBPELC401,TIMES process: CCNBPELC401
CCNBPELCHP101,TIMES process: CCNBPELCHP101
CCNBPGMXHP101,TIMES process: CCNBPGMXHP101
