process_times;scenario_times;year_times;commodity;technology PyPSA;attribute_times;import_export;region2;param_pypsa;val_times;costs_2030_pypsa.value;ratio_times_o_pypsa;currency_times;costs_2030_pypsa.currency_year
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;NCAP_FOM;-;-;FOM;2125;3,3494;634.4419896;MEUR13;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;NCAP_FOM;-;-;FOM;2125;3,3494;634.4419896;MEUR13;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;ACT_COST;-;-;VOM;555555556;4,4445;124998437.6;MEUR13;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;ACT_COST;-;-;VOM;555555556;4,4445;124998437.6;MEUR13;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;ACT_EFF;-;-;efficiency;58;0,58;100;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2015;-;CCGT;ACT_EFF;-;-;efficiency;58;0,58;100;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2020;-;CCGT;ACT_EFF;-;-;efficiency;6;0,58;10.34482759;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2020;-;CCGT;ACT_EFF;-;-;efficiency;6;0,58;10.34482759;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2030;-;CCGT;ACT_EFF;-;-;efficiency;62;0,58;106.8965517;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2030;-;CCGT;ACT_EFF;-;-;efficiency;62;0,58;106.8965517;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2050;-;CCGT;ACT_EFF;-;-;efficiency;63;0,58;108.6206897;-;2015
ETSTP_CCGT_GAS_N;ELC-NewTechs;2050;-;CCGT;ACT_EFF;-;-;efficiency;63;0,58;108.6206897;-;2015
